Date : 2021-03-30 02:16:19
Directory : c:\Users\Elashvili's\Desktop\instagram current 2\instagram-ui
Total : 68 files,  19613 codes, 154 comments, 384 blanks, all 20151 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| c:\Users\Elashvili's\Desktop\instagram current 2\instagram-ui\src\environments\production.js                 | JavaScript |          3 |          0 |          2 |          5 |
| c:\Users\Elashvili's\Desktop\instagram current 2\instagram-ui\src\index.js                                   | JavaScript |         15 |          5 |          4 |         24 |
| c:\Users\Elashvili's\Desktop\instagram current 2\instagram-ui\src\index.scss                                 | SCSS       |          1 |          0 |          3 |          4 |
| c:\Users\Elashvili's\Desktop\instagram current 2\instagram-ui\src\reportWebVitals.js                         | JavaScript |         12 |          0 |          2 |         14 |
| c:\Users\Elashvili's\Desktop\instagram current 2\instagram-ui\src\services\post.service.js                   | JavaScript |        120 |          0 |         14 |        134 |
| c:\Users\Elashvili's\Desktop\instagram current 2\instagram-ui\src\services\user.service.js                   | JavaScript |        178 |          2 |         20 |        200 |
| c:\Users\Elashvili's\Desktop\instagram current 2\instagram-ui\src\setupTests.js                              | JavaScript |          1 |          4 |          1 |          6 |
| c:\Users\Elashvili's\Desktop\instagram current 2\instagram-ui\src\user-context.js                            | JavaScript |          3 |          0 |          3 |          6 |
| Total                                                                                                        |            |     19,613 |        154 |        384 |     20,151 |
+--------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
